2026-05-04 10:36:10, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-05-04 10:36:11, EXEC, v:1, k:ed@vetbuild, mode:FULL, rate:100
2026-05-04 11:56:26, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-05-04 11:56:27, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-05-04 11:56:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 11:56:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 11:56:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 11:56:26, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 12:15:01, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 12:15:01, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 12:21:07, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 12:21:07, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:11:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:14:16, EXEC, v:1, k:src@go, mode:FREE, size:259
2026-05-04 16:14:47, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-04 16:14:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:14:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:14:17, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:15:26, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 16:15:26, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 17:09:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-04 17:09:27, MOVE, v:1, k:ed@editorint, mode:EDIT
